236101, 2138, 2128, 2906, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236140, 2153, 2050, 2837, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236178, 2161, 2011, 2970, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236217, 2137, 2028, 2937, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236255, 2101, 1818, 2902, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236294, 2087, 1987, 3016, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236332, 2065, 1931, 3013, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236371, 2092, 1770, 3023, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236406, 2146, 1703, 2992, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236442, 2103, 1780, 2987, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236477, 2132, 1572, 3080, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236513, 2105, 1788, 3080, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236548, 2118, 1791, 3191, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236584, 1974, 1808, 3213, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236619, 1915, 1687, 3110, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236655, 1828, 1765, 2822, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236690, 1813, 1697, 2825, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236726, 1858, 1642, 2830, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236762, 1846, 1470, 2921, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236809, 1793, 1668, 2948, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236856, 1802, 1495, 2868, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236904, 2460, 2137, 3438, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236951, 1827, 1173, 3479, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
236999, 1960, 1507, 2509, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237046, 1863, 2230, 2343, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237093, 2738, 1675, 2699, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237141, 2927, 2333, 2992, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237188, 2660, 2855, 3304, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237236, 2685, 2218, 2683, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237271, 2253, 2174, 2260, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237307, 2443, 2194, 2385, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237343, 3220, 2579, 2107, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
