108166, 2371, 1842, 2876, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108205, 2451, 1728, 2910, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108244, 2454, 1700, 2799, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108283, 2370, 1625, 2960, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108322, 2411, 1583, 2932, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108361, 2407, 1510, 2900, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108406, 2461, 1573, 2999, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108451, 2364, 1680, 2959, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108496, 2277, 1592, 3034, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108541, 2209, 1624, 3054, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108586, 2161, 1793, 3117, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108631, 2080, 1572, 3060, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108676, 2087, 1743, 3086, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108721, 2048, 1689, 2979, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108766, 2023, 1720, 2731, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108812, 2122, 1703, 2782, 81, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108844, 2097, 1717, 2839, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108877, 1974, 1739, 2823, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108909, 1819, 1631, 2936, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108942, 1759, 1595, 2849, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
108974, 1739, 1927, 2876, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109007, 1798, 1893, 3086, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109039, 1694, 1643, 2845, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109072, 1891, 1906, 3028, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109104, 1788, 1810, 2912, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109137, 2349, 1660, 2821, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109170, 2581, 2070, 2979, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109210, 3059, 2289, 2667, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109251, 3128, 3015, 3215, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109291, 3448, 3786, 3666, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109332, 2174, 3192, 2351, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109372, 1582, 2345, 2051, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109413, 1693, 2369, 1798, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109453, 2006, 2826, 2676, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109494, 1978, 2530, 2706, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109534, 2050, 2470, 2669, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109575, 1986, 2897, 2631, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109614, 1767, 2863, 2397, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109654, 1841, 2798, 2329, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109694, 1958, 2579, 2415, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109733, 2101, 2758, 2460, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109773, 1949, 2771, 2331, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109813, 2110, 2810, 2615, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109852, 2141, 2677, 2480, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109892, 2384, 2390, 2522, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109932, 2496, 2217, 2421, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
109972, 2524, 2174, 2540, 80, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
110009, 2591, 2164, 2551, 77, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
110047, 2560, 2181, 2487, 77, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
110084, 2523, 2112, 2411, 77, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
110122, 2571, 2246, 2419, 77, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
110159, 2607, 2214, 2403, 77, 7f11c3dc-4867-4135-9dc0-54eb4f3dbd0a, , transisi, transisi_duduk_ke_sujud, , 
