67675, 672, 2279, 2998, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67712, 999, 2078, 3246, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67749, 1307, 2108, 3012, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67786, 1033, 1912, 3188, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67823, 1301, 1967, 3379, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67864, 1088, 1786, 3324, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67906, 617, 2065, 2829, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67948, 937, 1733, 2876, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
67990, 768, 681, 1950, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68032, 735, -764, 22, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68074, -2387, 1275, -572, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68116, 6438, 774, 3474, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68158, 3949, 1945, 2656, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68200, 6760, 2601, 5963, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68242, 3748, 635, 2529, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68276, 3974, 2150, 2089, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68310, 3224, 2165, 2114, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68345, 2843, 1977, 2782, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
