153787, 914, 3218, 2561, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
153824, 921, 2862, 2738, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
153860, 806, 2978, 2672, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
153897, 682, 2985, 2764, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
153934, 408, 2778, 2681, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
153970, 788, 2723, 2616, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154007, 272, 3031, 2503, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154044, 717, 2948, 3196, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154088, 611, 2940, 2650, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154133, 196, 1243, 849, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154178, -112, 679, 142, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154223, 1264, 212, 2262, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154268, 6419, 4427, 2973, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154313, 7648, 6528, 2014, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154358, 4998, 2159, 3360, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154403, 4302, 3415, 2296, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154448, 3384, 1630, 1744, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154493, 3280, 2993, 1546, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154524, 2900, 2444, 2043, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154556, 2148, 2278, 2445, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154588, 2008, 2586, 2527, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154620, 1939, 2686, 2396, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154652, 2134, 2810, 2377, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154684, 2183, 2666, 2278, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154716, 2080, 2861, 2292, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154748, 2021, 2757, 2454, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154780, 1938, 2671, 2379, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154812, 1945, 2818, 2368, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154844, 2016, 2858, 2345, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154883, 2056, 2682, 2330, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154923, 2145, 2783, 2169, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
154963, 2196, 2816, 2197, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155002, 2250, 2700, 2125, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155042, 2257, 2765, 2089, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155082, 2343, 2751, 1999, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155121, 2405, 2814, 1956, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155161, 2468, 2718, 1942, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155201, 2566, 2597, 1941, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155241, 2601, 2641, 1833, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155280, 2654, 2630, 1804, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155319, 2658, 2646, 1721, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155358, 2709, 2589, 1723, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155397, 2739, 2493, 1695, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155437, 2727, 2621, 1709, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155476, 2785, 2555, 1689, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155515, 2777, 2614, 1627, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155554, 2795, 2570, 1570, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155593, 2820, 2638, 1508, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155633, 2885, 2608, 1452, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155670, 2904, 2594, 1438, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155707, 2910, 2609, 1338, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
155744, 2914, 2572, 1313, 75, 97b38539-c815-45e0-9c7f-13469eccc49a, , transisi, transisi_duduk_ke_sujud, , 
