426861, 2859, 1773, 2453, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
426903, 2880, 1758, 2431, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
426945, 2886, 1747, 2433, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
426987, 2886, 1777, 2404, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427029, 2870, 1763, 2428, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427071, 2893, 1743, 2451, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427113, 2884, 1753, 2433, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427155, 2867, 1762, 2437, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427197, 2868, 1774, 2437, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427240, 2858, 1791, 2417, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427274, 2865, 1770, 2422, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427308, 2877, 1791, 2396, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427342, 2873, 1786, 2424, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427377, 2883, 1794, 2442, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427411, 2822, 1765, 2389, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427445, 2828, 1843, 2504, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
