167193, 1965, 1911, 3116, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167230, 1902, 1900, 3115, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167268, 1871, 1858, 3179, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167305, 1826, 1861, 3202, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167343, 1823, 1841, 3189, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167380, 1804, 1866, 3199, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167417, 1808, 1809, 3214, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167455, 1796, 1845, 3197, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167492, 1770, 1785, 3253, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167530, 1684, 1878, 3207, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167565, 1694, 1820, 3282, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167600, 1595, 1735, 3372, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167636, 1249, 1720, 3298, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167671, 894, 976, 3503, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167706, 271, 95, 1703, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167742, 793, 1352, 420, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167777, 2377, 1193, 2327, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167812, 3640, 2147, 3076, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167848, 4376, 2814, 3154, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167883, 4739, 1523, 6011, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167919, 4589, 1456, 3793, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
167959, 2493, 2407, 687, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168000, 3949, 3812, 3801, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168041, 2310, 977, 1436, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168082, 3390, 2693, 2596, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168123, 2979, 1717, 2384, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168163, 3169, 2034, 2342, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168204, 2711, 1984, 2893, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168245, 1941, 2761, 2542, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168286, 1960, 2208, 2684, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168327, 2297, 2273, 2715, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168366, 1970, 2474, 2544, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168406, 2157, 2404, 2642, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168445, 2130, 2618, 2609, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168485, 2131, 2497, 2505, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168524, 2198, 2634, 2502, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168564, 2352, 2539, 2400, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168603, 2335, 2500, 2341, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168643, 2372, 2529, 2281, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168682, 2448, 2517, 2199, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168722, 2462, 2535, 2166, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168758, 2526, 2510, 2031, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168794, 2491, 2611, 2059, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
