69296, 2854, 1951, 2285, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69329, 2818, 1921, 2309, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69362, 2793, 1956, 2359, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69395, 2741, 1976, 2299, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69428, 2867, 2039, 2319, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69461, 2734, 2121, 2296, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69494, 2897, 2146, 2166, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69527, 2774, 2122, 2108, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69560, 2769, 2224, 1980, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69593, 2680, 2162, 2109, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69633, 2804, 2186, 2080, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69673, 2814, 2299, 2159, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69713, 2784, 2197, 2162, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69753, 2427, 1971, 2205, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69794, 2598, 2372, 2460, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69834, 2547, 2416, 2339, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69874, 2362, 2280, 2432, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69914, 2300, 2242, 2197, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69954, 2405, 2486, 1972, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
69995, 2392, 2406, 1601, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70036, 2393, 2582, 1144, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70078, 2435, 2796, 1046, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70120, 2458, 3017, 916, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70162, 2505, 2843, 1163, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70204, 1994, 2658, 1251, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70246, 2474, 2658, 1180, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70288, 2747, 2645, 1195, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70330, 2615, 2328, 1560, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70372, 2688, 2914, 1550, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70414, 2994, 2003, 2081, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70448, 2952, 2540, 2193, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70482, 3557, 2604, 1665, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70517, 3365, 1986, 1599, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70551, 2080, 2671, 4286, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70585, 2338, 3542, 4119, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70620, 2264, 1302, 3014, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70654, 2268, 1687, 3308, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70688, 1783, 1073, 3363, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70723, 2440, 1611, 3351, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70757, 2186, 1381, 3252, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70792, 2334, 1533, 3251, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70833, 2376, 1973, 2853, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70875, 2172, 1553, 2759, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70917, 2560, 1757, 2828, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
70959, 2009, 1252, 2823, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71001, 1606, 1111, 3542, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71042, 2509, 2900, 2623, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71084, 3114, 1182, 3066, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71126, 2640, 1480, 2994, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71168, 2392, 2070, 2723, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71210, 2583, 1570, 2894, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71244, 2848, 1474, 2892, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71278, 2601, 1615, 2815, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71312, 2620, 1646, 2780, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71346, 2712, 1531, 2729, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71380, 2640, 1565, 2787, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71414, 2727, 1534, 2789, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71448, 2693, 1509, 2754, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71482, 2697, 1456, 2796, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71516, 2727, 1425, 2798, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71550, 2781, 1447, 2786, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71584, 2746, 1455, 2787, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71625, 2708, 1521, 2783, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71666, 2770, 1389, 2797, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71707, 2732, 1417, 2806, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71748, 2745, 1392, 2803, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
71789, 2727, 1409, 2789, 83, 08c51407-3e37-4f9b-bdc3-56bebadba4cb, , transisi, transisi_duduk_ke_sujud, , 
