262144, 2760, 1930, 2408, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262181, 2726, 2053, 2444, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262218, 2688, 1992, 2489, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262255, 2603, 1984, 2460, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262292, 2635, 2070, 2616, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262329, 2620, 1944, 2557, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262366, 2618, 1962, 2468, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262403, 2658, 1919, 2374, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262440, 2636, 1894, 2463, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262479, 2549, 1770, 2606, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262518, 2600, 1760, 2726, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262558, 2585, 1746, 2637, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262597, 2576, 1594, 2920, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262637, 2412, 1691, 2862, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262676, 2291, 1755, 2991, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262715, 2488, 1595, 3024, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262755, 2227, 1289, 3123, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262794, 2339, 1738, 2940, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262834, 2397, 1881, 3003, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262874, 1912, 1635, 2161, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262914, 1539, 1186, 1426, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262954, 1776, 1284, 2035, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
262994, 2984, 803, 3111, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263034, 2999, 880, 2945, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263074, 3468, 824, 2655, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263114, 3890, 1142, 2701, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263154, 4229, 1223, 2384, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263194, 4902, 515, 2006, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263235, 4833, 1363, 634, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263271, 4564, 1035, 262, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263308, 6273, 1441, 5597, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263345, 2808, 514, 2453, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263382, 2592, 2617, 2594, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263419, 3119, 849, 2508, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263455, 3200, 1183, 2549, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263492, 2913, 1463, 2528, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263529, 3067, 1305, 2510, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263566, 3069, 1421, 2671, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263603, 3104, 1301, 2474, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263640, 3057, 1374, 2398, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263685, 3051, 1452, 2363, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263730, 3076, 1457, 2360, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263775, 3039, 1442, 2331, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263820, 3018, 1343, 2287, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263865, 3100, 1476, 2427, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263910, 3032, 1323, 2445, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
263955, 3125, 1284, 2472, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264000, 3116, 1328, 2311, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264045, 3094, 1398, 2452, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264090, 3148, 1221, 2426, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264121, 3138, 1185, 2363, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264152, 3092, 1523, 2473, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264183, 3110, 1221, 2516, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264215, 3152, 1187, 2328, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264246, 3064, 1553, 2375, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264277, 3107, 1342, 2433, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264308, 3104, 1349, 2422, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264340, 3106, 1440, 2386, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264371, 3141, 1461, 2303, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264402, 3140, 1472, 2326, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264434, 3195, 1248, 2289, 75, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264474, 3114, 1489, 2217, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264515, 3183, 1343, 2347, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
