231766, 2551, 753, 3404, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
231806, 2631, 726, 3041, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
231846, 2004, 379, 3725, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
231886, 1950, 962, 3816, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
231926, 1843, 1160, 3063, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
231966, 1892, 962, 3319, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232006, 1887, 898, 3153, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232046, 2476, 713, 3477, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232087, 2105, 542, 3266, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232125, 1892, 759, 3242, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232163, 1552, 798, 3145, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232201, 1522, 747, 3004, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232240, 1637, 633, 3035, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232278, 1777, 841, 2968, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232316, 2051, 731, 3130, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232354, 2638, 347, 3002, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232393, 3209, 1108, 2541, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232431, 3558, 751, 2985, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232469, 3699, 947, 2771, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232508, 3844, 1128, 2477, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232545, 3361, 1045, 1949, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232583, 4585, 1289, 2878, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232621, 3158, 2329, 5732, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232659, 2253, 516, 3095, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232697, 1066, 1761, 3161, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232734, 2566, 1414, 3187, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232772, 2494, 1404, 3031, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232810, 2440, 1608, 3086, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232848, 2630, 1308, 2891, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232886, 2441, 1560, 2914, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
