58070, 1289, 2479, 3111, 69, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58102, 1264, 2622, 2972, 69, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58144, 1285, 2603, 3026, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58186, 1279, 2551, 2908, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58228, 1299, 2590, 2980, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58270, 1244, 2544, 2957, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58312, 1221, 2446, 3009, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58354, 1171, 2395, 3028, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58396, 1150, 2382, 3101, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58438, 915, 2416, 3058, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58480, 926, 2340, 3165, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58523, 706, 2315, 3107, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58558, 544, 2256, 3278, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58593, 685, 2864, 3216, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58628, 341, 1955, 2183, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58663, 40, 456, 1019, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58698, 382, 3316, -519, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58734, -3076, -7262, -128, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58769, 1499, 2048, 2451, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58804, 2256, 2764, 1755, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58839, 2859, 1760, 2413, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58874, 4439, 2968, 1597, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58910, 5281, 2802, 2735, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58946, 5401, -1255, 2768, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
58982, 720, 4197, 2342, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59019, 1565, 1792, 2665, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59055, 2501, 1830, 3161, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59092, 1956, 2096, 2681, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59128, 2239, 2235, 2666, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59164, 2456, 2103, 2717, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59201, 2392, 1959, 2606, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59237, 2500, 2130, 2517, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59274, 2556, 2298, 2512, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59315, 2603, 2018, 2419, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59356, 2653, 2134, 2363, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59397, 2757, 2107, 2396, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59438, 2725, 1935, 2299, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59479, 2871, 2041, 2278, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59520, 2924, 1983, 2153, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59561, 2992, 1997, 2134, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59602, 3050, 1843, 1982, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59643, 3106, 1847, 2040, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59684, 3097, 1911, 1980, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59728, 3148, 1910, 1945, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59772, 3242, 1834, 1908, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59817, 3223, 1842, 1835, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59861, 3177, 1824, 1811, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59906, 3289, 1887, 1721, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59950, 3289, 1828, 1677, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
59995, 3294, 1828, 1596, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60039, 3349, 1708, 1561, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60084, 3374, 1968, 1566, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60128, 2937, 1773, 1126, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60173, 3633, 1651, 1500, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60208, 3384, 1902, 1231, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60243, 3523, 1844, 1380, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
60278, 3450, 1813, 1292, 73, fe768c82-334b-42e6-bc56-d6cebf544dbc, , transisi, transisi_duduk_ke_sujud, , 
