542161, 891, 2169, 3318, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542198, 664, 1887, 3505, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542234, 432, 2183, 3573, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542271, 504, 2042, 3503, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542308, 515, 2071, 3550, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542345, 508, 2083, 3421, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542381, 613, 2119, 3470, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542418, 495, 2040, 3364, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542455, 458, 1834, 3290, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542492, 300, 1597, 3125, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542532, 300, 1144, 2948, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542573, 2237, 1130, 1895, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542614, 1002, 421, 3485, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542654, 2873, -1311, 3185, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542695, 1618, 2287, 2960, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542736, 2160, 2147, 1978, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542776, 2737, 2030, 3498, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542817, 5438, 3382, 4578, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542858, 3507, 1569, 3264, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542899, 3715, 1373, 2802, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542940, 3350, 2137, 2728, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
542981, 1981, 2290, 3013, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
