288409, 2747, 1453, 2703, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288447, 2842, 1489, 2722, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288485, 2830, 1367, 2769, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288524, 2897, 1352, 2857, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288559, 2712, 870, 3041, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288594, 2303, 1159, 3243, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288629, 2064, 1423, 3339, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288665, 1887, 1362, 3348, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288700, 1923, 1494, 3222, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288735, 2033, 1433, 3024, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288771, 2140, 1106, 2993, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288806, 2198, 1261, 2937, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288841, 2030, 1064, 2862, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288877, 1831, 733, 2766, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288917, 2011, 1300, 2493, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288958, 1893, 1046, 2915, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
288998, 1393, 845, 2938, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289039, 2080, 1141, 2708, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289079, 2589, 966, 2923, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289120, 2891, 1290, 2882, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289160, 3202, 1218, 2704, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289201, 3545, 1615, 2500, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289241, 5329, 112, 1418, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289282, 4470, 2028, 3847, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
