88316, 1661, 2642, 2717, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88356, 1630, 2676, 2747, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88396, 1540, 2650, 2709, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88437, 1516, 2658, 2792, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88477, 1367, 2752, 2772, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88518, 1225, 2672, 2832, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88558, 1153, 2668, 2986, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88598, 1148, 2591, 3083, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88639, 1080, 2420, 3006, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88679, 1105, 2473, 3086, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88720, 1050, 2364, 3109, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88755, 1068, 2356, 3152, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88791, 1114, 2330, 2984, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88827, 1273, 2443, 3074, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88862, 1375, 2284, 3082, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88898, 1184, 2339, 2597, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88934, 694, 1788, 2293, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
88970, 14, 375, 475, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89005, 2677, 1827, 2321, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89041, 3850, 1799, 3513, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89077, 3308, 2248, 4198, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89113, 3161, 3000, 3963, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89154, 4817, 2463, 5185, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89196, 3459, 2125, 2283, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89238, 3135, 2430, 1404, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
