147928, 1224, 2252, 3277, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
147967, 1171, 2300, 3190, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148006, 1213, 2358, 3144, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148043, 1194, 2218, 3221, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148080, 1118, 2162, 3265, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148117, 1116, 2152, 3372, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148154, 1057, 2256, 3280, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148191, 984, 2143, 3382, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148228, 863, 2116, 3386, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148265, 861, 2039, 3313, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148302, 821, 2021, 3373, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148339, 862, 2129, 3421, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148376, 800, 1927, 3320, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148413, 584, 1447, 2764, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148451, 204, 831, 1900, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148489, 1293, 869, 876, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148527, -3314, -572, 2082, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148566, 1907, 3384, 4260, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148604, 2673, 2584, 1967, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148642, 3836, 1471, 6332, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148681, 3106, 3550, 5130, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148719, 3167, 1674, 3317, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148757, 2607, 2661, 2440, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148796, 2703, 1640, 2806, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148831, 2434, 2119, 2730, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148866, 2282, 2140, 2408, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148902, 2882, 2026, 2703, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148937, 2505, 1948, 2858, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
