204342, 2649, 2400, 2117, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204386, 2748, 2208, 2202, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204430, 2695, 1751, 2129, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204462, 2973, 2102, 2082, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204494, 3090, 1801, 2155, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204526, 2774, 2088, 2057, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204558, 3307, 2035, 2111, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204590, 3162, 1722, 2227, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204623, 2887, 1864, 2376, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204655, 2624, 1860, 2037, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204687, 2847, 2016, 2173, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204719, 2677, 1954, 2294, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204751, 2406, 1865, 1980, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204784, 2490, 2104, 1610, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204824, 2775, 2400, 1697, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204865, 3169, 2493, 1656, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204906, 2783, 2285, 1614, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204947, 2706, 2319, 1713, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
204988, 2582, 2381, 1714, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205028, 2425, 2276, 2009, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205069, 2395, 2143, 1907, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205110, 2486, 2387, 1854, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205151, 2879, 3211, 1563, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205192, 3087, 2545, 1932, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205233, 3288, 2489, 2250, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205275, 3720, 3272, 3101, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205317, 2179, 1298, 4265, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205359, 1922, 1777, 4753, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205401, 2445, 1423, 2674, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205442, 1839, 2104, 3177, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205484, 2242, 1590, 3221, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205526, 2385, 1412, 3126, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205568, 2550, 1295, 3078, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205610, 2571, 1202, 3121, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205644, 2641, 1279, 2959, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205678, 2557, 1211, 3025, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205712, 2618, 1176, 3065, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205746, 2690, 1124, 2983, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205780, 2708, 974, 3051, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205814, 2642, 1033, 2989, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205848, 2735, 1066, 3022, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205882, 2823, 1023, 2940, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
205916, 2779, 1103, 2920, 104, 922583eb-69dc-43de-a73a-ff4dd1ed92bd, , transisi, transisi_duduk_ke_sujud, , 
