260195, 3269, 1120, 2498, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260235, 3274, 786, 2383, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260275, 3263, 677, 2552, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260315, 3112, 528, 2620, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260355, 3005, 732, 2458, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260390, 3040, 814, 2633, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260426, 2943, 958, 2444, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260462, 3247, 701, 2509, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260498, 3274, 751, 2379, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260534, 3089, 633, 2689, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260570, 3080, 1022, 2645, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260606, 2833, 832, 2676, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260642, 2664, 784, 2736, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260678, 2792, 939, 2649, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260714, 2751, 1105, 2502, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260760, 2617, 706, 2333, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260806, 2470, 704, 2161, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260852, 2577, 508, 1911, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260898, 3054, 385, 2468, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260944, 3267, 742, 2105, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
260990, 3344, 453, 1795, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261036, 3579, 802, 2159, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261082, 3554, 758, 2096, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261128, 4213, 831, 1782, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261175, 3801, 833, 1707, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261205, 3433, 632, 1279, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261235, 6491, -2744, 10923, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261265, 2066, 1312, 1192, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261295, 1623, 1180, 3174, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261325, 2562, 1595, 3022, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261355, 2945, 1245, 3039, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261385, 2850, 1257, 2915, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261415, 2616, 1400, 2991, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261445, 2880, 1227, 2957, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261475, 2742, 1308, 2865, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261506, 2766, 1196, 2895, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261546, 2830, 1349, 2763, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261586, 2848, 1155, 2734, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261627, 2792, 1258, 2772, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261667, 2829, 1219, 2825, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261708, 2757, 1264, 2850, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261748, 2772, 1252, 2835, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261788, 2827, 1106, 2835, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261829, 2872, 1113, 2778, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
261869, 2923, 1146, 2745, 84, 79112b3d-a069-47b0-8f4e-eee8ebab9936, , transisi, transisi_duduk_ke_sujud, , 
