89512, 1093, 2870, 2801, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89553, 1028, 2877, 2786, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89593, 940, 2828, 2865, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89634, 779, 2882, 2934, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89675, 669, 2733, 2948, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89716, 719, 2645, 3107, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89757, 680, 2658, 3011, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89798, 688, 2624, 3072, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89839, 727, 2468, 3072, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89880, 707, 2444, 3017, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89921, 800, 2606, 3136, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
89962, 489, 3086, 2612, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90003, 537, 2230, 1947, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90039, 171, 1014, 1146, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90075, 120, 210, 1643, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90111, 1261, 3453, 1436, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90148, 3926, 882, 5022, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90184, 3559, 4277, 1669, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90220, 3577, 1881, 3977, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90257, 2955, 2811, 2227, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90293, 3898, 2877, 2145, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90329, 3486, 2983, 1757, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90366, 3490, 1932, 2083, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90402, 2974, 2367, 2358, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90439, 1761, 2041, 3009, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90476, 1662, 2717, 2640, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90513, 2087, 2314, 2859, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90550, 1771, 2416, 2842, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90586, 1842, 2539, 2811, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90623, 1777, 2415, 2812, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90660, 1760, 2557, 2776, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90697, 1725, 2652, 2698, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90734, 2005, 2474, 2780, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90771, 1898, 2552, 2623, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90809, 1993, 2641, 2563, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
