104711, 2135, 2172, 2844, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104750, 2142, 2081, 2845, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104790, 2073, 2035, 2851, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104827, 2048, 1976, 3034, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104865, 1980, 1973, 2971, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104902, 1956, 1984, 2977, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104940, 1933, 2001, 2986, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
104977, 1972, 1937, 2956, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105015, 1899, 2114, 2959, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105052, 1915, 1943, 3069, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105090, 1793, 2055, 3073, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105127, 1687, 2029, 3269, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105165, 1725, 2475, 3157, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105203, 1259, 2305, 2368, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105240, 661, 791, 1450, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105278, 728, 905, 505, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105315, 1733, 261, 3753, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105353, 6949, 1999, 3622, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105391, 4028, 2198, 2311, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105428, 4973, 1370, 2847, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105466, 3390, 1711, 3950, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105503, 4595, 1628, 3772, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105541, 3478, 1373, 2591, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105579, 2678, 1930, 2287, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105620, 2833, 1743, 2724, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105662, 2647, 1328, 2789, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105704, 2762, 1641, 2591, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
