323342, 3166, 836, 2271, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323380, 3282, 1037, 2425, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323419, 3250, 911, 2393, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323457, 3367, 892, 2337, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323496, 3102, 891, 2417, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323535, 2933, 1259, 2958, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323575, 2688, 924, 2540, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323616, 3081, 1141, 2331, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323657, 3262, 1200, 2207, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323698, 3286, 1002, 2221, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323739, 3248, 894, 2538, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323780, 3181, 953, 2530, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323821, 3093, 659, 2453, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323862, 2730, 1098, 2067, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323903, 2553, 1244, 1918, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323944, 2669, 1127, 2084, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
323985, 2600, 1323, 2068, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324020, 2948, 1223, 2234, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324055, 3002, 1484, 1476, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324090, 3213, -76, 2714, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324125, 3825, 928, 2747, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324161, 3649, 1068, 2520, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324196, 3717, 528, 2958, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324231, 3661, 297, 3990, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324266, 2775, 577, 3074, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324301, 2541, 184, 4098, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324337, 4459, 1859, 2234, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324376, 3294, -794, 3486, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324416, 2738, 1764, 2711, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324456, 2617, 1827, 3459, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324496, 2783, 1462, 3240, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324536, 2619, 1003, 3055, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324575, 2802, 1587, 2972, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
