357089, 2921, 1558, 2463, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357125, 2933, 1539, 2518, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357162, 2937, 1537, 2523, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357198, 2937, 1560, 2531, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357235, 3033, 1593, 2581, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357276, 2876, 1549, 2502, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357317, 2867, 1571, 2707, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357358, 2667, 1779, 2809, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357400, 2461, 1415, 2840, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357441, 2444, 1423, 2715, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357482, 2590, 1468, 2748, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357524, 2588, 1364, 2759, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357565, 2719, 1445, 2672, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357606, 2886, 1524, 3331, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357648, 2366, 1461, 2864, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357687, 2475, 1314, 2914, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357726, 2455, 1199, 3100, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357765, 2443, 1371, 3133, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357804, 2163, 1218, 2828, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357843, 2330, 1348, 3056, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357882, 2337, 1239, 2911, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357921, 2134, 1217, 1984, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357960, 2084, 834, 2163, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
357999, 2632, 1037, 2576, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358038, 2624, 951, 2511, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358074, 2910, 1007, 2443, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358111, 3155, 1106, 2708, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358147, 3276, 901, 2937, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358184, 3586, 1202, 2983, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358220, 3792, 1061, 2759, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358257, 3826, 1176, 2245, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358293, 4056, 1425, 1890, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358330, 3851, 1058, 1868, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358366, 3616, 1223, 1713, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358403, 3552, 1366, 1689, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358440, 5414, 2212, 4493, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358479, 2718, 1026, 2684, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358518, 2582, 1588, 2955, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358557, 2826, 1050, 3063, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358596, 2981, 1483, 2595, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358635, 2804, 1293, 2873, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358674, 2705, 1251, 2646, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358713, 2871, 1209, 2900, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358752, 2715, 1509, 2744, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358791, 2822, 1308, 2805, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358831, 2770, 1490, 2697, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358871, 2832, 1285, 2708, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358911, 2868, 1364, 2748, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358951, 2852, 1146, 2637, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
358991, 2848, 1454, 2735, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359031, 2890, 1137, 2748, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359071, 2945, 1213, 2714, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359111, 2937, 1150, 2737, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359151, 2915, 1158, 2670, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359191, 2978, 1138, 2710, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359231, 3004, 1092, 2653, 82, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359266, 2993, 1254, 2639, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359301, 3018, 1063, 2643, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359336, 3007, 1123, 2593, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359372, 3038, 1148, 2601, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359407, 3085, 1117, 2556, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359442, 3021, 1244, 2674, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359477, 2852, 1301, 2699, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359513, 2984, 1241, 2572, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359548, 2965, 1360, 2607, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359583, 2973, 1278, 2573, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359619, 3066, 1231, 2571, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359658, 3041, 1284, 2515, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359698, 3068, 1257, 2526, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359738, 3141, 1191, 2515, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359778, 3133, 1203, 2479, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359818, 3151, 1114, 2486, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359857, 3161, 1133, 2457, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359897, 3204, 1148, 2454, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359937, 3133, 1136, 2562, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
359977, 3195, 1198, 2315, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360017, 3193, 1239, 2324, 80, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360055, 3197, 1254, 2347, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360093, 3225, 1195, 2299, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360131, 3212, 1302, 2272, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360169, 3247, 1164, 2271, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
