100995, 2862, 1499, 2557, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101040, 2891, 1644, 2654, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101085, 2740, 1548, 2708, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101130, 2839, 1542, 2544, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101176, 2933, 1577, 2577, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101208, 2867, 1495, 2562, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101241, 2403, 1265, 2974, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101274, 2692, 1311, 2684, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101306, 2664, 1405, 2712, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101339, 2699, 1416, 2760, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101372, 2696, 1469, 2727, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101405, 2674, 1250, 2760, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101437, 2586, 1628, 2328, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101470, 2890, 690, 3033, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101503, 2650, 893, 2485, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101536, 2713, 1112, 2326, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101575, 2733, 727, 2107, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101615, 2787, 487, 1960, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101655, 2880, 346, 2325, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101695, 3223, 547, 2567, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101735, 3110, 673, 2325, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101774, 3079, 683, 2589, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
