89286, 1340, 2258, 3337, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89326, 1338, 2052, 3271, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89367, 1348, 2198, 3269, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89404, 1281, 2079, 3329, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89441, 1506, 2064, 3082, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89478, 1477, 2019, 3020, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89515, 1468, 1990, 3178, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89552, 1336, 1771, 3185, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89589, 1478, 2021, 3214, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89626, 1459, 2260, 2903, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89663, 1376, 1661, 3032, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89700, 1385, 1667, 2779, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89737, 1247, 1291, 3646, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89775, 2333, 932, 3130, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89816, 1581, 1084, 3597, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89857, 1972, 1487, 2984, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89899, 2271, 1656, 3013, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89940, 1539, 1640, 2964, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
89982, 2746, 2029, 3157, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90023, 2946, 1879, 3545, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90064, 3371, 2268, 3442, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90106, 3468, 2655, 6162, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90147, -559, -1499, 2629, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90189, 2391, 2223, 3812, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90229, 1565, 1874, 3456, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90269, 1630, 1124, 3750, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90310, 1721, 1438, 3601, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90350, 1545, 1605, 3577, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90390, 1723, 1441, 3568, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90431, 1695, 1535, 3373, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90471, 1708, 1538, 3489, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90511, 1935, 1408, 3464, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90552, 1823, 1512, 3391, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90592, 1982, 1413, 3379, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90633, 1996, 1435, 3381, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90669, 2001, 1488, 3294, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90705, 2079, 1461, 3289, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90741, 2130, 1492, 3264, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90777, 2136, 1433, 3247, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90813, 2173, 1462, 3249, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90849, 2084, 1542, 3227, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90885, 2122, 1477, 3264, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90921, 2153, 1508, 3241, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90957, 2136, 1517, 3225, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
90993, 2142, 1540, 3217, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91032, 2120, 1559, 3149, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91071, 2153, 1580, 3170, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91110, 2193, 1620, 3156, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91149, 2221, 1605, 3114, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91188, 2185, 1692, 3090, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
91227, 2227, 1719, 3061, 94, 93487cc8-2337-407b-b99a-f55cfca6be4b, , transisi, transisi_duduk_ke_sujud, , 
