74089, 1373, 2162, 3127, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74130, 1155, 2158, 3213, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74171, 1042, 2261, 3384, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74212, 809, 2228, 3338, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74253, 672, 2229, 3460, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74294, 457, 2255, 3397, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74335, 812, 2172, 3204, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74376, 908, 2132, 3377, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74417, 941, 2140, 3372, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74455, 710, 1986, 3582, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74494, 871, 1860, 3733, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74532, 524, 1882, 3553, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74571, 607, 1756, 3651, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74609, 622, 1808, 3673, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74648, 555, 1738, 3375, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74686, 454, 1308, 3423, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74725, 450, 1846, 2730, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74763, 516, 646, 1442, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74802, 1477, -6, 1906, 64, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74838, 3031, 2546, 2077, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74874, 2948, 1350, 6576, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74910, 2454, 1633, 2740, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74946, 4126, 3400, 5198, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
74982, 5757, 2405, 4850, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75018, 2855, 2442, 2672, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75054, 3577, 2193, 2376, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75090, 3281, 2121, 2585, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75126, 2569, 1515, 3002, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75162, 2289, 1436, 2938, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75198, 2355, 1917, 2827, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75241, 2600, 1600, 2856, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75285, 1809, 1939, 3029, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75328, 2292, 1856, 2995, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75372, 2303, 1992, 2874, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75416, 2378, 1872, 2799, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75459, 2401, 1896, 2777, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75503, 2460, 1971, 2697, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75546, 2480, 1918, 2650, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75590, 2635, 1750, 2660, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75634, 2617, 1914, 2585, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75670, 2739, 1789, 2571, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75707, 2773, 1843, 2483, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75744, 2821, 1856, 2388, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75781, 2800, 1969, 2341, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75818, 2748, 1929, 2369, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75854, 2772, 1878, 2402, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75891, 2723, 1923, 2389, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75928, 2957, 1929, 2265, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
75965, 2748, 2080, 2249, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76002, 2700, 2299, 2135, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76040, 2953, 1995, 2222, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76078, 2934, 1976, 2119, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76116, 2874, 1989, 2194, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76154, 3015, 2001, 2068, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76192, 2942, 2059, 2085, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76231, 2991, 1952, 2148, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76269, 2961, 2203, 1950, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76307, 2990, 1908, 2070, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76345, 3064, 1956, 2031, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76383, 3014, 1892, 2103, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
76422, 3097, 1761, 2111, 65, 7781f892-46d6-4c76-abd6-c8df64ae6223, , transisi, transisi_duduk_ke_sujud, , 
