180972, 1723, 2124, 3269, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181006, 1754, 2025, 3286, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181040, 1846, 1918, 3272, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181074, 1574, 1976, 3091, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181112, 1668, 1595, 3469, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181150, 1514, 1861, 3351, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181188, 1382, 1261, 3396, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181226, 1258, 1800, 3592, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181265, 1658, 1965, 4177, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181303, 630, 1131, 3165, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181341, 599, 2166, 3162, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181379, -358, 525, 675, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181417, 1788, 1545, 686, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181456, 2706, 1781, 3204, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181492, 4358, 2343, 3412, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181529, 4133, 2489, 2634, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181566, 4530, 1454, 2263, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181603, 3836, 2129, 2719, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181640, 4040, 1956, 2062, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181677, 4453, 3161, 3273, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181714, 3174, 1284, 2066, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181751, 2648, 2575, 2325, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181788, 2316, 377, 3323, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181825, 2901, 1598, 3137, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181862, 2265, 1690, 2982, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181902, 2452, 2002, 2764, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181942, 2498, 1863, 3008, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
181982, 2406, 1756, 2706, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182022, 2563, 1916, 2894, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182062, 2414, 1936, 2697, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182102, 2607, 1901, 2720, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182142, 2396, 2260, 2443, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182182, 2671, 1991, 2559, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182222, 2672, 2020, 2426, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182262, 2743, 1957, 2400, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182305, 2767, 2045, 2340, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182348, 2870, 1931, 2243, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182391, 2920, 1967, 2277, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182434, 2969, 1876, 2162, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182478, 2976, 2094, 2077, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182521, 2887, 1993, 2525, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182564, 2874, 2243, 1991, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182607, 3191, 2145, 1607, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182650, 3036, 1984, 1966, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
