67277, 2370, 1856, 2815, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67317, 2378, 1918, 2867, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67357, 2229, 1904, 2961, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67397, 2049, 2072, 2964, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67437, 1857, 2007, 3038, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67477, 1817, 1735, 3187, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67513, 1860, 1800, 3324, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67549, 1558, 1775, 3316, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67586, 1766, 1566, 3401, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67622, 1760, 1670, 3260, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67659, 2027, 2082, 3206, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67695, 1818, 1913, 3393, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67731, 1073, 1356, 2488, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67768, 700, 832, 826, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67804, -918, 1588, 1278, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67841, 3568, 722, 3393, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67877, 3691, 1322, 3152, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67913, 3823, 1029, 2975, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67949, 3996, 1013, 1918, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
67985, 4952, 1746, 238, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68021, 10031, -1208, 873, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68057, 1446, -957, 1956, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68093, 1895, 3908, 1827, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68129, 3635, -18, 2452, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68165, 3489, 970, 2423, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68201, 3142, 1096, 2294, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68238, 3218, 1278, 2421, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68282, 3282, 958, 2330, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68326, 3165, 1175, 2136, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68371, 3333, 1203, 2391, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68415, 3367, 1044, 2342, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68460, 3248, 1370, 2269, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68504, 3306, 1250, 2031, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68548, 3265, 1439, 2159, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68593, 3294, 1329, 2254, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68637, 3300, 1089, 2256, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68682, 3236, 1328, 2204, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68717, 3276, 1295, 2164, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68752, 3242, 1290, 2235, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68787, 3286, 1307, 2211, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68822, 3304, 1320, 2164, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68857, 3338, 1217, 2104, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68892, 3242, 1472, 2141, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68927, 3360, 1425, 2027, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68962, 3289, 1468, 2038, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
68997, 3333, 1452, 1974, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69032, 3322, 1424, 2056, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69070, 3342, 1486, 1978, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69108, 3398, 1379, 1916, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69147, 3389, 1429, 1878, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69185, 3351, 1607, 1913, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69224, 3499, 1102, 1948, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69262, 3416, 1330, 1951, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69301, 3480, 1018, 1902, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69339, 3454, 1376, 1881, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69378, 3501, 1237, 1838, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69416, 3526, 1258, 1846, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69455, 3510, 1288, 1796, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69491, 3559, 1187, 1807, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69527, 3577, 1181, 1739, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69563, 3573, 1154, 1787, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69599, 3509, 1015, 1652, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69635, 3574, 972, 1633, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69671, 3743, 855, 1607, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69707, 3769, 1230, 1425, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69743, 3851, 1020, 1366, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69779, 3852, 1008, 1309, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69815, 3807, 1062, 1267, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69854, 3845, 1080, 1248, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69894, 3769, 1060, 1010, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69933, 3789, 1101, 1128, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
69973, 3845, 1084, 1146, 97, 605337b4-96b7-4a90-83bc-0529d842d64b, , transisi, transisi_duduk_ke_sujud, , 
