125347, 2528, 1723, 2739, 100, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125382, 2573, 1770, 2733, 100, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125417, 2664, 1786, 2719, 100, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125458, 2638, 1751, 2626, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125499, 2646, 1770, 2664, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125540, 2544, 1848, 2747, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125582, 2725, 2008, 2730, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125623, 2450, 1957, 2661, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125664, 2586, 1695, 2596, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125706, 2765, 1629, 2652, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125747, 2810, 1395, 2659, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125788, 2784, 1348, 2696, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125830, 2676, 1460, 2716, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125872, 2726, 1463, 2775, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125915, 2620, 1344, 3011, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
125957, 2493, 1315, 3166, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126000, 2341, 1515, 3164, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126042, 2378, 1223, 3241, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126085, 1936, 1217, 3287, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126127, 2128, 1431, 3696, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126170, 2122, 2299, 2803, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126212, 1566, 1842, 3385, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126255, -119, -146, 2185, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126298, 313, 735, 2271, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126332, 3820, 358, 3489, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126366, 3065, 578, 2834, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126400, 3456, 538, 1966, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126434, 3715, 468, 1823, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126468, 3259, 1253, 1625, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126502, 5107, 2705, -786, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126536, 14860, -14167, 5490, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126570, -2315, 934, 1909, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126604, 3732, 2665, 1253, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126638, 4635, -1828, 1647, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126677, 3529, 1208, 1646, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126716, 3861, 183, 1368, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126755, 3838, 726, 1775, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126795, 3680, 423, 1553, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126834, 3886, 706, 1696, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126873, 3726, 629, 1552, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126913, 3816, 804, 1573, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126952, 3790, 776, 1679, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
126991, 3774, 764, 1514, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127031, 3741, 894, 1611, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127065, 3708, 914, 1477, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127100, 3762, 855, 1639, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127135, 3715, 973, 1557, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127170, 3706, 988, 1603, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127205, 3606, 1190, 1525, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127240, 3807, 851, 1626, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127275, 3705, 925, 1345, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127310, 3664, 1076, 1723, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127345, 3666, 1079, 1600, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127380, 3618, 1168, 1717, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127415, 3725, 999, 1487, 99, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
