115675, 2059, 2206, 3055, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115710, 2090, 2185, 2947, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115746, 1853, 1854, 2941, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115782, 2021, 2201, 3035, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115818, 2013, 2138, 2875, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115854, 1911, 2114, 3070, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115892, 1870, 2188, 2825, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115930, 1747, 2262, 3094, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
115968, 1728, 2284, 2937, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116007, 1523, 2157, 3225, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116045, 1279, 1960, 3339, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116083, 1303, 2273, 3189, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116121, 1415, 2081, 3207, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116160, 1518, 1985, 3373, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116198, 1480, 2144, 3382, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116236, 1393, 2002, 3156, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116275, 1439, 2263, 2912, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116314, 1442, 2087, 2593, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116353, 1369, 1653, 2187, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116392, 922, 266, 2177, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116432, 655, -2201, 796, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116471, -3465, 1786, -1833, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116510, 3922, -1279, 3566, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116550, 3830, 3716, 3123, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116589, 3108, 2477, 3368, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116628, 4360, 3596, 5286, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116668, 2317, 243, 1780, 100, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116703, 3600, 1737, 2854, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116738, 3069, 1846, 2166, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116773, 3485, 2005, 2345, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116808, 3126, 2597, 2198, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116843, 2860, 1868, 2662, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116878, 1601, 1541, 3292, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116913, 1908, 1811, 3174, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116948, 2014, 1754, 3178, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
116983, 2161, 1879, 3118, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117018, 1988, 2110, 2693, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117054, 2047, 2128, 3070, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117099, 2073, 2178, 2863, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117144, 2182, 2102, 2814, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117189, 2097, 2407, 2716, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117234, 2289, 2135, 2753, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117279, 2191, 2316, 2721, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117324, 2300, 2234, 2805, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117369, 2219, 2131, 2738, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117414, 2258, 2084, 2721, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117459, 2303, 2149, 2685, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117505, 2365, 2214, 2690, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117539, 2401, 2166, 2623, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117574, 2434, 2199, 2536, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117608, 2452, 2156, 2571, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117643, 2434, 2173, 2567, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117678, 2493, 2211, 2470, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117712, 2616, 2192, 2374, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117747, 2615, 2137, 2452, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117781, 2637, 2061, 2493, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117816, 2598, 2075, 2509, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117851, 2568, 2014, 2406, 101, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117889, 2705, 2094, 2275, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117927, 2869, 2079, 2140, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
117965, 2937, 2079, 2021, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118003, 2995, 2079, 2184, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118041, 2735, 2225, 2154, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118080, 2784, 2071, 2211, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118118, 2794, 2207, 2157, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118156, 2809, 2165, 2149, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118194, 2789, 2272, 2069, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118232, 2831, 2263, 2032, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118271, 2821, 2276, 2008, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118308, 2846, 2273, 1959, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118345, 2872, 2244, 1978, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118383, 2906, 2155, 1910, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118420, 2868, 2246, 1962, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118458, 2869, 2267, 1988, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118495, 2850, 2262, 1997, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118532, 2822, 2271, 1999, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118570, 2858, 2228, 1989, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118607, 2885, 2229, 1990, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118645, 2896, 2272, 1932, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118685, 2918, 2179, 1972, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
118726, 2894, 2219, 1955, 102, a60b738f-ec17-4838-9d58-3009adeaabbb, , transisi, transisi_duduk_ke_sujud, , 
