220155, 1505, 1897, 3252, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220193, 1553, 1845, 3339, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220231, 1494, 1812, 3384, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220269, 1526, 1902, 3317, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220312, 1533, 1782, 3276, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220356, 1548, 1584, 3367, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220400, 1490, 1837, 3274, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220443, 1467, 1826, 3448, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220487, 1526, 1826, 3536, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220531, 1222, 1647, 2526, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220574, 158, 24, 530, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220618, 744, 886, 185, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220662, 3238, 2552, 1739, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220706, 3728, 1930, 3102, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220737, 3168, 2402, 2769, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220768, 3342, 2289, 4682, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220800, 4422, 2913, 4209, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220831, 3436, 618, 1823, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220863, 4379, 2618, 1854, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220894, 3699, 1987, 1574, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220926, 3433, 1884, 2366, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220957, 1719, 2289, 2837, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
220989, 2002, 2006, 3170, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221020, 1646, 1916, 3126, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221052, 2652, 1881, 2813, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221092, 2743, 1830, 2420, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221132, 2606, 1181, 3174, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221172, 2417, 1990, 2830, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221212, 2524, 1865, 2831, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221253, 2372, 2100, 2624, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221293, 2322, 2239, 2707, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221333, 2379, 2165, 2610, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221373, 2536, 2005, 2562, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221413, 2612, 2117, 2509, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221454, 2453, 2361, 2450, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
