71308, 2386, 1529, 3080, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71345, 2325, 1503, 3149, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71382, 2235, 1499, 3093, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71419, 2146, 1229, 3227, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71456, 2258, 1474, 3136, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71493, 2163, 1371, 3263, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71530, 2081, 1333, 3214, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71567, 2032, 1453, 3402, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71604, 2004, 1446, 3255, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71641, 2062, 1562, 3127, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71678, 2100, 1508, 3099, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71716, 2065, 1362, 2919, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71754, 2043, 1386, 2961, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71793, 1981, 1254, 2984, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71832, 1946, 1372, 2815, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71870, 1992, 1028, 2876, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71909, 2058, 842, 3179, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71948, 2079, 868, 3259, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
71986, 2151, 979, 3137, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72025, 2221, 762, 3113, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72064, 2371, 887, 3040, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72103, 2560, 931, 3150, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72141, 2915, 836, 2981, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72179, 3248, 1252, 2982, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72217, 3616, 995, 2631, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72255, 3309, 1212, 2518, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72293, 3036, 1675, 817, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72332, 4491, 2283, 15242, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72370, -416, 327, 1884, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72408, 1073, 1324, 3476, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72446, 1612, 1401, 3530, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72484, 1757, 1551, 3597, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72523, 1933, 1239, 3452, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72562, 1566, 1477, 3587, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72601, 1616, 1427, 3361, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72640, 2101, 1279, 3481, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72680, 1869, 1548, 3390, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72719, 1833, 1424, 3440, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
72758, 1921, 1500, 3359, 63, 29e03098-5ab2-41e0-99cd-cb49fa651f00, , transisi, transisi_duduk_ke_sujud, , 
