54035, 1080, 1952, 3338, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54069, 838, 1788, 3000, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54103, 931, 1003, 2862, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54137, 518, 561, 1590, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54171, 190, 706, 2816, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54205, 3876, -1076, -475, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54239, 1845, 3217, 2134, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54273, 3825, 2945, 1976, 66, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54312, 7538, 5880, 3419, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54352, 4134, 2054, 3279, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54392, 4885, 1970, 3023, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54431, 4051, 1298, 2662, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54471, 1606, 1377, 2950, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54511, 1984, 2629, 2740, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54550, 2804, 1451, 2834, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54590, 2558, 2014, 2605, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54630, 2763, 1856, 2671, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54670, 2465, 2118, 2406, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54705, 2881, 1742, 2545, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54740, 2873, 2032, 2531, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54775, 2829, 1858, 2419, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54810, 2824, 1980, 2415, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54845, 2898, 1793, 2418, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54880, 2880, 1831, 2274, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54915, 2873, 1916, 2313, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54950, 2986, 1787, 2313, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
54985, 2962, 1815, 2278, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
55020, 3032, 1797, 2204, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
55055, 2980, 1948, 2002, 67, b748e84e-fdcd-4149-b697-474ac9ddf406, , transisi, transisi_duduk_ke_sujud, , 
