102396, 1724, 2527, 2795, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102435, 1637, 2498, 2897, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102474, 1385, 2356, 2887, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102515, 1387, 2453, 2970, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102556, 1354, 2533, 2984, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102597, 977, 2335, 3072, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102638, 1212, 2338, 3004, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102680, 885, 2358, 3097, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102721, 1168, 2396, 3066, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102762, 1033, 2265, 3085, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102803, 976, 2678, 3319, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102844, 495, 1069, 1544, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102886, 231, 1435, 728, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102928, 2179, 2577, 3062, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
102970, 2390, 2099, 3068, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103013, 3087, 2610, 2251, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
