139477, 1264, 1639, 3529, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139515, 1267, 1690, 3507, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139553, 1186, 1777, 3433, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139592, 1138, 1743, 3443, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139630, 1079, 1715, 3417, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139668, 1103, 1838, 3196, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139706, 1100, 1608, 3456, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139744, 1042, 1561, 3398, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139783, 834, 1539, 3579, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139822, 812, 1040, 3506, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139861, 1097, 2263, 3714, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139900, 242, 1536, 4186, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139939, 1095, 1230, 3487, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
139978, 1323, 1473, 2744, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140017, 1939, 1568, 3260, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140056, 1820, 1498, 2891, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140095, 2520, 1445, 3432, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140134, 3073, 1699, 3250, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140173, 2757, 1636, 2669, 100, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140208, 2520, 3228, 2525, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140244, 2885, 1470, 5126, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140279, 1684, -73, 4627, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140315, 3987, 2957, 3652, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140350, 419, 1497, 3682, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140386, 1251, 1220, 3608, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140421, 1832, 1507, 3710, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140457, 1417, 1551, 3645, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140492, 1447, 1463, 3552, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140528, 1535, 1419, 3604, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140564, 1539, 1417, 3559, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
140609, 1589, 1400, 3584, 99, 77595e28-89b8-4f2d-8070-725f6029e0da, , transisi, transisi_duduk_ke_sujud, , 
