232058, 2177, 2138, 3014, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232106, 2218, 2027, 2932, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232154, 2204, 2065, 2931, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232202, 2214, 2026, 2884, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232250, 2203, 2002, 2862, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232298, 2195, 2061, 2827, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232346, 2184, 1905, 2919, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232394, 2173, 2083, 2986, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232443, 2143, 1937, 2957, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232476, 2213, 1923, 2999, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232509, 2199, 1879, 2925, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232542, 2261, 1925, 2851, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232575, 2265, 1921, 2809, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232608, 2305, 2002, 2905, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232641, 2250, 1877, 2925, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232674, 2251, 1858, 2870, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232707, 2286, 1784, 2847, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232740, 2294, 2033, 2940, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232773, 2188, 2091, 2953, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232806, 2173, 2008, 2872, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232845, 2225, 2026, 2901, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232885, 2171, 2072, 2891, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232925, 2215, 2026, 2861, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
232965, 2219, 2068, 2832, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233005, 2208, 2050, 2859, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233045, 2198, 2074, 2849, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233085, 2213, 2022, 2847, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233125, 2224, 2021, 2868, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233165, 2239, 2018, 2818, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233205, 2201, 2019, 2872, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233243, 2211, 2114, 2868, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233281, 2223, 2040, 2841, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
