284299, 2874, 1135, 2789, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284335, 2891, 1047, 2743, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284372, 2890, 1134, 2797, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284409, 2936, 1142, 2768, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284445, 2851, 1154, 2742, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284482, 2807, 1083, 2842, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284519, 2830, 955, 2813, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284557, 2919, 986, 2842, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284596, 2970, 900, 2757, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284635, 2895, 1054, 2821, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284674, 2860, 1075, 2759, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284713, 2875, 1108, 2830, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284752, 2906, 1048, 2775, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284791, 2956, 983, 2805, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284830, 2941, 1056, 2775, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284869, 2938, 1095, 2814, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284908, 2873, 1041, 2722, 86, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284945, 2853, 1154, 2832, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
284982, 2868, 1097, 2764, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285019, 2884, 1110, 2817, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285057, 2884, 1061, 2768, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285094, 2860, 1147, 2839, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285131, 2843, 1128, 2783, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285168, 2829, 1092, 2796, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285206, 2838, 1161, 2790, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285243, 2912, 1150, 2748, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285280, 2901, 1062, 2802, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285318, 2904, 1013, 2820, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
