177044, 1770, 2916, 2422, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177082, 1668, 2896, 2395, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177120, 1578, 2974, 2392, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177158, 1584, 2952, 2497, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177197, 1515, 2908, 2475, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177235, 1511, 2947, 2504, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177273, 1507, 2908, 2486, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177311, 1502, 2937, 2482, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177349, 1526, 2891, 2482, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177387, 1558, 2919, 2497, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177426, 1580, 2939, 2490, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177465, 1572, 2851, 2454, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177505, 1655, 2904, 2451, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177545, 1642, 2903, 2417, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177585, 1686, 2909, 2459, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177624, 1690, 2942, 2410, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177664, 1676, 2935, 2407, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177704, 1684, 2866, 2419, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177744, 1722, 2940, 2389, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177783, 1612, 2805, 2487, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177823, 1602, 2947, 2465, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177863, 1646, 2940, 2449, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177903, 1625, 2886, 2465, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177943, 1613, 2925, 2475, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
177980, 1554, 2917, 2476, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178018, 1550, 2963, 2434, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178055, 1585, 2917, 2439, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178093, 1601, 2933, 2468, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178131, 1571, 2931, 2459, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178168, 1592, 2893, 2470, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178206, 1635, 2879, 2467, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
