152549, 1860, 2472, 2859, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152586, 1787, 2291, 2625, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152623, 1757, 2704, 2470, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152659, 1854, 2486, 2645, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152696, 1706, 2630, 2670, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152733, 1570, 2641, 2629, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152769, 1504, 2647, 2544, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152806, 1566, 2758, 2696, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152843, 1589, 2897, 2713, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152883, 1534, 2579, 2502, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152923, 1507, 2642, 2727, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
152964, 1171, 2667, 2753, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153004, 1068, 2865, 2825, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153045, 875, 2974, 2744, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153085, 757, 3051, 2655, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153125, 831, 3259, 2703, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153166, 1049, 3187, 2479, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153206, 1409, 2962, 2444, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153247, 1516, 2899, 2497, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153286, 1463, 2951, 2478, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153325, 1418, 3059, 2412, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153365, 1355, 3101, 2354, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153404, 1342, 3032, 2346, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153444, 1375, 3073, 2415, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153483, 1356, 3086, 2430, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153522, 1271, 3096, 2423, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153562, 1239, 3155, 2412, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153601, 1231, 3101, 2403, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153641, 1287, 3090, 2356, 74, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153677, 1297, 3178, 2338, 75, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153714, 1298, 3178, 2313, 75, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
153750, 1016, 3198, 2389, 75, 3088b93c-05e9-4310-95a7-b5e1d5b2c754, , duduk, duduk_antara_dua_sujud, , 
