252562, 2137, 2725, 2346, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252600, 2172, 2628, 2305, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252638, 2175, 2643, 2277, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252676, 2169, 2611, 2303, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252714, 2138, 2712, 2317, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252752, 2154, 2773, 2247, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252790, 2122, 2692, 2207, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252828, 2134, 2761, 2235, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252866, 2115, 2757, 2250, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252904, 2126, 2807, 2220, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252942, 2106, 2746, 2192, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
252979, 2130, 2754, 2290, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253017, 2119, 2736, 2214, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253054, 2118, 2770, 2226, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253092, 2132, 2798, 2230, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253129, 2089, 2753, 2220, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253167, 2175, 2796, 2229, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253204, 2137, 2771, 2196, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253242, 2128, 2795, 2233, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253279, 2097, 2758, 2203, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253317, 2101, 2874, 2192, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253354, 2105, 2790, 2224, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253392, 2081, 2795, 2235, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253430, 2110, 2831, 2208, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253468, 2082, 2804, 2185, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253506, 2103, 2829, 2185, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253544, 2111, 2754, 2228, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253582, 2073, 2818, 2224, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253621, 2061, 2844, 2208, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253659, 2055, 2823, 2206, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253697, 2077, 2857, 2188, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253735, 2111, 2852, 2186, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253774, 2068, 2813, 2168, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253812, 2060, 2809, 2209, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253850, 2088, 2814, 2214, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253888, 2104, 2834, 2177, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253927, 2065, 2819, 2174, 91, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
253966, 2086, 2823, 2202, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254006, 2080, 2875, 2183, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254046, 2081, 2822, 2175, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254086, 2068, 2855, 2198, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254125, 2068, 2849, 2191, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254165, 2100, 2816, 2179, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254205, 2102, 2824, 2208, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254245, 2072, 2816, 2206, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254284, 2090, 2807, 2218, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254324, 2054, 2831, 2165, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254364, 2051, 2836, 2186, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254404, 2032, 2888, 2212, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254444, 2051, 2789, 2176, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254481, 2055, 2853, 2204, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254518, 2037, 2840, 2186, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254556, 2075, 2851, 2197, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254593, 2069, 2857, 2200, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254630, 2039, 2823, 2183, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254668, 2056, 2857, 2174, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254705, 2031, 2849, 2191, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254743, 2044, 2889, 2207, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254780, 2039, 2854, 2176, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254817, 2029, 2859, 2212, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254855, 2048, 2858, 2191, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254892, 2031, 2870, 2179, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254930, 2023, 2873, 2201, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
254968, 2064, 2882, 2166, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
255006, 2058, 2847, 2182, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
255044, 2033, 2861, 2208, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
255082, 2039, 2869, 2179, 90, 98ead59c-1605-40ec-80b9-51f3e829dac8, , duduk, duduk_antara_dua_sujud, , 
