101769, 1643, 2194, 3000, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101804, 1370, 2369, 3135, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101840, 1317, 2486, 3193, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101875, 1293, 2484, 3061, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101910, 1332, 2447, 3136, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101945, 1797, 2472, 2740, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
101981, 1960, 2308, 2795, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102016, 1949, 2338, 2724, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102051, 1873, 2480, 2757, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102087, 1874, 2440, 2768, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102125, 1892, 2463, 2793, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102164, 1876, 2391, 2805, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102203, 1833, 2494, 2694, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102241, 1798, 2547, 2776, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102280, 1830, 2494, 2756, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102319, 1858, 2434, 2769, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
102357, 1820, 2495, 2738, 74, 032e57bd-3807-4da5-8fd7-89659184164d, , duduk, duduk_antara_dua_sujud, , 
