219004, 2194, 1773, 3030, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219040, 2234, 1761, 3034, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219080, 2230, 1776, 3019, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219121, 2236, 1759, 3028, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219161, 2226, 1784, 3086, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219202, 2146, 1743, 2910, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219243, 2207, 1793, 3044, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219283, 2257, 1659, 3019, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219324, 2159, 1782, 3172, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219364, 2088, 1723, 3031, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219405, 1974, 1766, 3002, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219446, 1773, 1764, 3257, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219486, 1631, 1782, 3360, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219527, 1503, 1889, 3436, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219568, 1327, 1843, 3438, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219608, 1258, 1997, 3469, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219649, 1309, 2121, 3499, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219690, 1680, 2139, 3161, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219730, 1885, 2011, 3026, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219771, 1964, 1894, 3083, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219812, 1831, 1953, 3112, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219853, 1655, 2027, 3168, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219890, 1610, 2088, 3157, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219928, 1544, 2020, 3204, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
219966, 1636, 2057, 3350, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
220004, 1672, 2052, 3347, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
220042, 1636, 2093, 3109, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
220079, 1561, 2019, 3220, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
220117, 1526, 1917, 3312, 103, fb0b7a48-e950-44f0-a515-bf1acf657b36, , duduk, duduk_antara_dua_sujud, , 
