254708, 3071, 693, 2731, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254749, 3068, 822, 2771, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254784, 3133, 630, 2729, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254819, 3119, 794, 2636, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254854, 3153, 754, 2535, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254889, 3178, 601, 2578, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254924, 3232, 658, 2541, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254959, 3267, 607, 2402, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
254994, 3327, 748, 2478, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255029, 3301, 751, 2522, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255064, 3233, 730, 2462, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255099, 3272, 744, 2525, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255134, 3233, 704, 2535, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255172, 3208, 846, 2504, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255211, 3182, 783, 2500, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255249, 3269, 805, 2542, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255288, 3219, 729, 2462, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255326, 3249, 860, 2511, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255365, 3197, 835, 2479, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255403, 3276, 788, 2440, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255442, 3282, 819, 2473, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255480, 3216, 892, 2470, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255519, 3226, 866, 2502, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
255562, 3227, 941, 2490, 86, 647445ed-2863-4aab-bdce-ad2c0d3599d0, , duduk, duduk_antara_dua_sujud, , 
