64761, 2938, 1679, 2453, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
64794, 3023, 1631, 2414, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
64835, 2955, 1603, 2371, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
64877, 2924, 1770, 2410, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
64918, 2917, 1715, 2340, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
64960, 2918, 1794, 2369, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65001, 2911, 1778, 2394, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65043, 2933, 1715, 2358, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65084, 2960, 1797, 2439, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65126, 2932, 1755, 2381, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65167, 2934, 1699, 2388, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65209, 2916, 1743, 2391, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65243, 2839, 1863, 2397, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65277, 2859, 1864, 2354, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65311, 2832, 1903, 2294, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65345, 2852, 1884, 2368, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65379, 2859, 1872, 2338, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65413, 2841, 1858, 2362, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65447, 2856, 1902, 2346, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65481, 2848, 1842, 2358, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65515, 2824, 1867, 2330, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65549, 2834, 1937, 2362, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65584, 2848, 1903, 2300, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
