86790, 115, 1830, 3781, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
86829, -142, 1272, 3881, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
86869, 405, 1970, 3492, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
86909, 673, 2207, 3532, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
86949, 685, 1940, 3560, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
86989, 779, 1979, 3536, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87029, 907, 1882, 3559, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87070, 946, 1864, 3672, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87111, 1156, 2023, 3252, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87152, 1118, 2257, 3173, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87193, 1177, 2075, 3330, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87234, 1083, 2168, 3375, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87275, 1583, 2281, 3359, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87316, 1502, 2380, 3434, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87357, 1559, 2232, 3115, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87398, 1652, 2328, 3298, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87434, 1671, 2285, 3408, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87470, 1573, 2333, 3196, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87507, 1277, 2024, 3400, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87543, 1231, 2106, 3347, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87580, 1182, 2206, 3231, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87616, 1172, 2200, 3327, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87653, 1192, 2203, 3296, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87689, 1249, 2212, 3279, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87726, 1230, 2198, 3300, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87762, 1218, 2195, 3306, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87799, 1212, 2212, 3301, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87839, 1218, 2251, 3281, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87879, 1163, 2245, 3280, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87919, 1192, 2239, 3275, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
87959, 1181, 2217, 3271, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88000, 1187, 2231, 3277, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88040, 1193, 2236, 3278, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88080, 1194, 2273, 3267, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88120, 1204, 2282, 3280, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88160, 1200, 2266, 3278, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
