216214, 1374, 1852, 3427, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216243, 1357, 1863, 3447, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216272, 1358, 1890, 3431, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216300, 1286, 1920, 3443, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216329, 1283, 1928, 3447, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216358, 1283, 1986, 3456, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216387, 1262, 1966, 3423, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216415, 1231, 1913, 3401, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216444, 1254, 1927, 3496, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216473, 1281, 1886, 3445, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216502, 1239, 1929, 3445, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216547, 1277, 1915, 3499, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216592, 1194, 1973, 3437, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216637, 1151, 1918, 3453, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216682, 1193, 1947, 3479, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216727, 1170, 1983, 3428, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216772, 1217, 1980, 3444, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216817, 1249, 1948, 3427, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216862, 1209, 1968, 3447, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216907, 1225, 1966, 3468, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216952, 1213, 1956, 3432, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
216986, 1252, 1977, 3422, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217020, 1231, 1978, 3430, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217054, 1184, 1962, 3451, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217088, 1165, 1941, 3478, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217122, 1179, 1954, 3474, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217156, 1196, 1950, 3468, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217190, 1188, 1927, 3466, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217224, 1192, 1956, 3448, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217258, 1217, 1993, 3430, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217293, 1226, 1999, 3417, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217337, 1216, 2003, 3418, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217382, 1196, 2022, 3397, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217426, 1207, 2017, 3440, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217471, 1200, 1983, 3436, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217516, 1204, 2013, 3441, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217560, 1186, 1999, 3426, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217605, 1203, 2020, 3421, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217650, 1205, 2030, 3403, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217694, 1196, 2032, 3413, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217739, 1207, 2010, 3408, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217784, 1220, 2009, 3409, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217814, 1201, 2032, 3380, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
