422462, 2862, 1598, 2552, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422501, 2870, 1601, 2568, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422540, 2845, 1604, 2582, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422580, 2849, 1588, 2507, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422619, 2862, 1654, 2557, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422658, 2808, 1609, 2543, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422698, 2815, 1667, 2574, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422737, 2820, 1661, 2586, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422776, 2818, 1701, 2560, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422816, 2773, 1641, 2570, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422857, 2815, 1680, 2556, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422899, 2807, 1599, 2522, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422941, 2816, 1614, 2601, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
422983, 2826, 1674, 2558, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423025, 2774, 1613, 2554, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423066, 2808, 1724, 2604, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423108, 2857, 1635, 2534, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423150, 2797, 1637, 2524, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423192, 2821, 1673, 2529, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423234, 2821, 1678, 2561, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423268, 2818, 1672, 2538, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423303, 2802, 1708, 2561, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423338, 2785, 1670, 2554, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423373, 2805, 1687, 2578, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423408, 2812, 1633, 2558, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423442, 2831, 1657, 2570, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423477, 2803, 1694, 2568, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423512, 2798, 1668, 2605, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423547, 2827, 1651, 2544, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423582, 2818, 1623, 2520, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423617, 2848, 1653, 2539, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423658, 2829, 1644, 2575, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423699, 2803, 1641, 2559, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423740, 2831, 1658, 2561, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423782, 2819, 1671, 2543, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423823, 2798, 1660, 2541, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
