101239, 2691, 1500, 2721, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101278, 2757, 1496, 2782, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101318, 2745, 1419, 2701, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101357, 2766, 1462, 2780, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101397, 2865, 1335, 2745, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101436, 2936, 1523, 2582, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101475, 3201, 1530, 2471, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101515, 3011, 1471, 2487, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101554, 2615, 1232, 2418, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101594, 2411, 1450, 2746, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101634, 2109, 1773, 2971, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101675, 1706, 2044, 2999, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101716, 1645, 2101, 3671, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101757, 1845, 2435, 2826, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101798, 2235, 2322, 3077, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101839, 2265, 1813, 3109, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101880, 2408, 1654, 2904, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101921, 2434, 1734, 2920, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
101962, 2330, 1748, 2912, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102003, 2436, 1839, 2964, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102044, 2395, 1936, 2670, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102077, 2523, 1869, 2737, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102111, 2678, 1713, 2752, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102145, 2690, 1742, 2593, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102179, 2665, 1854, 2536, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102213, 2537, 1894, 2784, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102247, 2185, 1884, 2945, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102281, 2098, 2071, 2893, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102315, 2043, 2153, 2893, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102349, 2025, 2152, 2953, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102383, 2023, 2134, 2961, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102425, 1999, 2086, 2969, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102468, 2106, 2031, 2950, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102511, 2050, 2006, 2930, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
