124866, 2552, 1747, 2679, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
124907, 2622, 1816, 2751, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
124949, 2610, 1742, 2733, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
124991, 2639, 1669, 2762, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125033, 2633, 1611, 2806, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125067, 2594, 1668, 2780, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125102, 2601, 1695, 2753, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125137, 2638, 1743, 2738, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125172, 2645, 1788, 2744, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125207, 2576, 1722, 2649, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125242, 2555, 1762, 2746, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125277, 2538, 1764, 2725, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
125312, 2553, 1755, 2726, 100, 6f9863b7-cf98-4751-9682-b336c5783821, , duduk, duduk_antara_dua_sujud, , 
