277548, 1652, 2260, 3031, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277584, 1680, 2402, 3004, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277621, 1578, 2480, 2915, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277658, 1534, 2531, 2894, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277695, 1436, 2681, 2912, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277732, 1379, 2705, 2883, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277769, 1178, 2649, 2900, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277806, 1094, 2575, 2992, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277843, 998, 2559, 2917, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277880, 1006, 2579, 3020, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277917, 1189, 2598, 2972, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277954, 1129, 2579, 2816, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
277996, 1203, 2512, 2935, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278038, 1216, 2296, 3154, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278080, 1069, 2466, 3031, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278122, 1042, 2494, 3115, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278164, 1023, 2599, 3266, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278206, 1357, 2854, 3002, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278248, 1420, 2618, 2823, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278290, 1377, 2577, 2809, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278332, 1317, 2759, 2826, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278374, 1236, 2940, 2770, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278408, 1189, 2995, 2716, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278442, 1136, 2843, 2657, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278476, 1132, 2879, 2778, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278510, 1105, 2880, 2834, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278544, 1127, 2827, 2932, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278578, 1282, 2742, 2836, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278612, 1234, 2600, 2848, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278646, 1464, 2653, 2877, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278680, 1483, 2676, 2835, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278714, 1588, 2659, 2824, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278748, 1578, 2646, 2750, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278788, 1654, 2687, 2743, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278829, 1682, 2670, 2714, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278869, 1703, 2731, 2694, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278910, 1376, 2620, 2896, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278950, 1325, 2750, 2815, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
278991, 1370, 2743, 2776, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279031, 1356, 2677, 2837, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279072, 1330, 2708, 2824, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279112, 1276, 2789, 2795, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
