52662, 1641, 1764, 3095, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52697, 1869, 1411, 4005, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52732, 1933, 1741, 3902, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52767, 2216, 2018, 2853, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52803, 1587, 2205, 2648, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52838, 1003, 2086, 2875, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52873, 464, 2075, 3728, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52908, 126, 2026, 3738, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52944, -182, 2072, 3696, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
52979, -270, 2281, 4022, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53014, -301, 2409, 3806, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53050, 656, 2549, 3034, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53090, 1093, 2452, 3029, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53130, 1501, 2467, 3174, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53170, 1476, 2402, 3127, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53210, 1372, 2417, 3122, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53250, 1184, 2495, 3129, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53290, 1171, 2459, 3096, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53330, 1154, 2413, 3126, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53370, 1158, 2435, 3175, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53410, 1165, 2417, 3138, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53450, 1197, 2469, 3159, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53494, 1126, 2380, 3209, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53538, 967, 2278, 3287, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53582, 912, 2537, 3359, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53626, 639, 2448, 3248, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53670, 745, 2437, 3480, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53714, 909, 2356, 3240, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53758, 941, 2339, 3342, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53802, 670, 2275, 3386, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53846, 671, 2450, 3293, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53890, 292, 2279, 2548, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53934, 846, 2079, 3228, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
53967, 769, 1900, 3384, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
54001, 1003, 1883, 3324, 66, cc11d811-719a-44be-8554-e1816e8e2180, , duduk, duduk_antara_dua_sujud, , 
