132796, 1871, 2081, 3187, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
132835, 2178, 1947, 2988, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
132874, 2330, 1902, 2870, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
132913, 2465, 1780, 2720, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
132952, 2501, 1824, 2679, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
132992, 2487, 1934, 2734, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133032, 2508, 1898, 2857, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133073, 2387, 2056, 2862, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133113, 2475, 1778, 2771, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133154, 2325, 1917, 2553, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133195, 2507, 2188, 2424, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133235, 2043, 1823, 2695, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133276, 1911, 1930, 3090, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133316, 1728, 2159, 3489, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133357, 1222, 2388, 3453, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133398, 756, 2302, 3286, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133434, 467, 2556, 3139, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133471, 423, 2819, 3391, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133508, 1235, 2819, 2857, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133545, 1540, 2440, 2757, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133582, 1743, 2356, 2911, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133618, 1753, 2524, 2925, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133655, 1712, 2747, 2737, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133692, 1691, 2673, 2738, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133729, 1596, 2516, 2847, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133766, 1609, 2525, 2914, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133803, 1623, 2578, 2847, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
