257566, 2746, 1770, 2539, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257602, 2785, 1749, 2572, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257639, 2751, 1744, 2563, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257678, 2740, 1836, 2579, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257717, 2691, 1809, 2573, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257756, 2710, 1874, 2569, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257795, 2732, 1841, 2556, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257835, 2710, 1817, 2541, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257874, 2712, 1814, 2552, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257913, 2712, 1854, 2570, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257952, 2679, 1850, 2576, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
257991, 2662, 1862, 2577, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258031, 2708, 1859, 2547, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258067, 2708, 1855, 2589, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258104, 2694, 1826, 2552, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258141, 2697, 1828, 2592, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258177, 2710, 1827, 2609, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258214, 2680, 1853, 2563, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258251, 2676, 1843, 2554, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258288, 2693, 1809, 2588, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258324, 2652, 1838, 2548, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258361, 2679, 1856, 2562, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258398, 2709, 1885, 2606, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258435, 2672, 1844, 2577, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258475, 2656, 1852, 2559, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258516, 2651, 1866, 2590, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258556, 2665, 1823, 2580, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258597, 2677, 1867, 2550, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258637, 2654, 1872, 2586, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258678, 2646, 1867, 2583, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258718, 2666, 1885, 2561, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258759, 2663, 1877, 2579, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258799, 2632, 1880, 2602, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258840, 2664, 1884, 2571, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258882, 2647, 1848, 2566, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258925, 2674, 1879, 2587, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
258968, 2652, 1881, 2582, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
