71855, 1614, 2582, 2723, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
71893, 1682, 2672, 2758, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
71931, 1622, 2787, 2645, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
71969, 1624, 2750, 2681, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72007, 1632, 2743, 2723, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72046, 1612, 2791, 2699, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72083, 1657, 2744, 2687, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72121, 1755, 2838, 2596, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72159, 1877, 2885, 2622, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72197, 1904, 2903, 2497, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72235, 1907, 2669, 2253, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72272, 1763, 2616, 2293, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72310, 1645, 2843, 2510, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72348, 1305, 2859, 2303, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72386, 724, 2706, 2438, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72424, 317, 2768, 3113, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72460, -114, 2807, 3364, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72497, -371, 2992, 3092, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72534, -318, 3260, 2995, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
