317858, 3425, 940, 2116, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
317891, 3453, 517, 2406, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
317925, 3455, 744, 2363, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
317966, 3445, 480, 2176, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318008, 3433, 956, 2318, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318049, 3398, 721, 2119, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318091, 3447, 804, 2398, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318132, 3325, 878, 2159, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318174, 3383, 885, 2226, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318215, 3448, 694, 2267, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318257, 3404, 751, 2261, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318298, 3516, 737, 2138, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318340, 3435, 688, 2284, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318378, 3337, 493, 2418, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318416, 3374, 682, 2354, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318454, 3443, 686, 2347, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318492, 3397, 691, 2302, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318530, 3392, 700, 2318, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318568, 3378, 653, 2303, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318606, 3418, 730, 2342, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318644, 3382, 737, 2307, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318682, 3358, 736, 2320, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318720, 3397, 717, 2336, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318755, 3352, 698, 2343, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318790, 3354, 735, 2326, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318825, 3356, 727, 2320, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318860, 3374, 712, 2311, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318895, 3371, 726, 2369, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
