65500, 2616, 1275, 3036, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65538, 2584, 1192, 3002, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65577, 2559, 1386, 2879, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65615, 2599, 1376, 3035, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65653, 2529, 1260, 3029, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65692, 2518, 1419, 3008, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65733, 2564, 1410, 2983, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65774, 2449, 1320, 3053, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65816, 2501, 1328, 3004, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65857, 2557, 1283, 2993, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65899, 2465, 1287, 3009, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65940, 2590, 1287, 3023, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
65981, 2560, 1314, 2992, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66023, 2586, 1340, 3006, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66064, 2515, 1307, 2994, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66106, 2561, 1361, 3013, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66146, 2542, 1247, 2956, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66187, 2559, 1368, 3049, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66228, 2491, 1289, 3025, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66268, 2557, 1334, 3008, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66309, 2545, 1325, 3007, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66350, 2503, 1290, 3036, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66391, 2504, 1395, 3027, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66431, 2440, 1402, 3004, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66472, 2464, 1446, 3029, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66513, 2483, 1438, 2986, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66554, 2455, 1407, 3024, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66590, 2475, 1370, 3035, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66626, 2501, 1396, 3080, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66662, 2470, 1320, 3057, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66699, 2461, 1425, 3017, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66735, 2424, 1419, 3033, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66771, 2421, 1468, 3028, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66808, 2421, 1452, 3034, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66844, 2465, 1450, 3024, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66880, 2473, 1395, 3009, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66917, 2478, 1371, 3045, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
