66664, 1572, 2073, 3244, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66705, 2036, 1845, 3195, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66746, 2249, 1777, 2965, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66787, 2370, 1860, 3030, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66828, 2485, 1918, 2586, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66869, 2074, 1831, 2465, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66910, 1745, 1937, 2862, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66951, 1360, 2212, 3583, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
66992, 1071, 2259, 3453, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67034, 829, 2485, 3371, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67072, 840, 2575, 3381, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67110, 1557, 2433, 2977, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67149, 1870, 2215, 2825, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67187, 2147, 2102, 2999, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67226, 2121, 2236, 3032, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67264, 1952, 2290, 2800, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67302, 1860, 2359, 2800, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67341, 1852, 2474, 2869, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67379, 1744, 2400, 2976, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67418, 1677, 2308, 3000, 58, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67454, 1594, 2303, 3006, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67491, 1561, 2427, 3122, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67528, 1498, 2269, 3015, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67565, 1587, 2193, 3086, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67602, 1865, 2177, 3455, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
67638, 1607, 2160, 3427, 59, a337de6d-ae87-418c-8ea0-026f1b0aae87, , duduk, duduk_antara_dua_sujud, , 
