62867, 2326, 1864, 2906, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
62902, 2321, 1764, 3044, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
62937, 2254, 1779, 2847, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
62972, 2079, 1806, 2878, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63007, 1963, 1876, 3169, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63042, 1761, 1939, 3210, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63077, 1637, 1989, 3165, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63116, 1588, 2025, 3345, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63155, 1670, 2151, 3315, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63194, 1758, 2166, 3167, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63233, 1719, 2062, 2933, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63272, 1665, 2033, 3067, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63311, 1670, 2093, 3124, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63350, 1605, 2125, 3235, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63389, 1601, 2071, 3179, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63428, 1656, 2092, 3125, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63468, 1851, 2147, 3008, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63504, 1933, 2072, 3176, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63541, 1942, 2009, 3103, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63578, 1908, 2208, 3030, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63614, 1744, 2138, 2971, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63651, 1830, 2337, 3142, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
63688, 1827, 2116, 3046, 85, 69557831-b34d-4b75-b016-31deac91c316, , duduk, duduk_antara_dua_sujud, , 
