156205, 1788, 1334, 3550, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156248, 1886, 1271, 3451, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156290, 1810, 1268, 3586, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156333, 1966, 1384, 3531, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156376, 1732, 1398, 3464, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156419, 1877, 1239, 3520, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156462, 1886, 1309, 3560, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156497, 1746, 1306, 3474, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156533, 1668, 1251, 3645, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156569, 1680, 1302, 3578, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156605, 1639, 1315, 3574, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156641, 1646, 1276, 3616, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156677, 1660, 1203, 3615, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156713, 1696, 1249, 3616, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156749, 1619, 1206, 3593, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156785, 1649, 1232, 3629, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156821, 1705, 1222, 3598, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156861, 1656, 1186, 3612, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156902, 1663, 1259, 3615, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156943, 1617, 1217, 3601, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
156984, 1653, 1194, 3648, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157025, 1636, 1249, 3604, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157066, 1635, 1239, 3636, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157107, 1625, 1193, 3606, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
