96110, 1063, 1820, 3327, 79, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96148, 983, 2125, 3426, 79, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96187, 840, 2079, 3307, 79, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96225, 770, 2145, 3715, 79, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96264, 824, 2204, 3421, 79, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96304, 569, 2343, 3230, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96345, 538, 1966, 3044, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96385, 50, 2268, 3189, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96426, -293, 1861, 3626, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96467, -565, 1985, 3670, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96507, -627, 2149, 3842, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96548, -26, 2638, 3601, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96588, 488, 2647, 3033, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96629, 883, 2387, 3309, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96670, 1094, 2515, 3329, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96707, 1124, 2538, 3152, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96745, 1052, 2620, 3098, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96783, 948, 2543, 3111, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96821, 837, 2492, 3204, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96859, 754, 2490, 3318, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96896, 667, 2441, 3247, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96934, 656, 2538, 3282, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
96972, 568, 2432, 3311, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97010, 671, 2495, 3172, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97048, 741, 2471, 3340, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97086, 550, 2255, 3271, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97125, 1633, 2494, 3453, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97165, 583, 2371, 3287, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97205, 686, 2190, 3275, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97245, 724, 2161, 3281, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97285, 672, 2079, 3366, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97324, 712, 2110, 3392, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
97364, 855, 2043, 3504, 78, 6c7e8849-2cde-4222-80e0-78d213ccf62f, , duduk, duduk_antara_dua_sujud, , 
