115280, 2138, 2273, 2726, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115318, 2098, 2569, 2613, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115355, 2170, 2350, 2779, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115393, 2089, 2328, 2685, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115431, 2081, 2380, 2523, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115469, 2112, 2482, 2659, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115507, 2089, 2415, 2585, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115545, 1958, 2502, 2418, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115583, 2000, 2486, 2647, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115621, 1869, 2557, 2664, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115659, 1800, 2753, 2784, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115698, 1740, 2660, 2656, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115736, 1634, 2575, 2508, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115774, 1825, 2829, 2697, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115812, 1686, 2756, 2449, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115850, 1596, 2711, 2588, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115888, 1432, 2663, 2724, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115927, 1123, 2639, 2716, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
115966, 961, 2821, 2843, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116006, 786, 2847, 3012, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116046, 628, 2847, 3104, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116085, 899, 3131, 2879, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116125, 1257, 2952, 2585, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116165, 1384, 2987, 2343, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116204, 1566, 2675, 2735, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116244, 1509, 2423, 2707, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116284, 1556, 3042, 2531, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116323, 1526, 2614, 2574, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116363, 1597, 2707, 2722, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116403, 1664, 2959, 2792, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116443, 1795, 2852, 2746, 99, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116480, 1731, 2652, 2626, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
