352402, 2915, 1422, 2579, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352443, 2940, 1444, 2565, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352484, 2922, 1439, 2579, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352518, 2903, 1436, 2590, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352553, 2903, 1465, 2560, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352588, 2909, 1448, 2587, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352622, 2925, 1446, 2579, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352657, 2952, 1402, 2561, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352692, 2940, 1435, 2614, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352726, 2911, 1441, 2560, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352761, 2910, 1466, 2607, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352796, 2902, 1472, 2602, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352831, 2894, 1480, 2566, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352869, 2915, 1495, 2567, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352907, 2900, 1452, 2610, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352945, 2890, 1491, 2593, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
352983, 2888, 1514, 2596, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353021, 2901, 1525, 2602, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353059, 2814, 1462, 2572, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353097, 2815, 1537, 2644, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353135, 2846, 1500, 2610, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353173, 2859, 1515, 2597, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353211, 2850, 1520, 2624, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353249, 2833, 1513, 2595, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353288, 2870, 1563, 2629, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353328, 2856, 1533, 2594, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353368, 2865, 1516, 2608, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353408, 2847, 1545, 2617, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353448, 2849, 1547, 2567, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353487, 2882, 1523, 2608, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353527, 2861, 1515, 2614, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353567, 2872, 1509, 2581, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353607, 2865, 1534, 2588, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353647, 2873, 1529, 2575, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353685, 2870, 1549, 2573, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353723, 2863, 1558, 2582, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353762, 2863, 1581, 2572, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353800, 2878, 1539, 2574, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353839, 2859, 1551, 2598, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353877, 2864, 1559, 2591, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353915, 2869, 1543, 2565, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353954, 2843, 1532, 2575, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
353992, 2859, 1541, 2601, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354031, 2861, 1550, 2591, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354066, 2849, 1539, 2572, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354101, 2849, 1527, 2573, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354136, 2862, 1544, 2570, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
