178914, 1262, 2538, 2998, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
178949, 1422, 2835, 2914, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
178984, 1527, 2113, 3080, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179019, 1494, 1944, 2990, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179054, 1480, 1720, 2750, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179089, 2011, 2168, 2877, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179124, 1850, 2532, 2912, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179160, 1782, 2364, 2944, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179197, 1947, 2125, 3023, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179235, 1993, 2124, 2801, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179272, 2079, 2071, 2883, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179310, 2151, 1705, 3058, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179347, 2145, 1748, 3095, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179385, 2069, 1847, 2957, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179422, 2206, 1680, 3005, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179460, 2309, 1781, 2974, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179497, 2399, 1760, 2882, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179535, 2573, 1626, 2876, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179573, 2644, 1742, 3013, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179614, 2525, 1738, 2927, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179656, 2476, 1785, 2894, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179697, 2360, 1885, 2929, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179739, 2264, 1850, 2893, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179781, 2333, 1852, 2918, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179822, 2314, 1785, 2886, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179864, 2391, 1879, 2907, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179905, 2412, 1831, 2890, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179947, 2414, 1723, 2925, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
179989, 2425, 1628, 2905, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180037, 2409, 1546, 2877, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180085, 2465, 1607, 2863, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180134, 2534, 1507, 2843, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180182, 2555, 1673, 2866, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180231, 2509, 1551, 2819, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180279, 2493, 1609, 3033, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180327, 2411, 1794, 2927, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180376, 2452, 1736, 2844, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180424, 2389, 1782, 2905, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180473, 2391, 1860, 2861, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180504, 2421, 1762, 2895, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180535, 2402, 1770, 2839, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180567, 2413, 1836, 2849, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180598, 2405, 1776, 2862, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180630, 2429, 1833, 2866, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180661, 2427, 1777, 2840, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180693, 2442, 1802, 2855, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180724, 2451, 1771, 2855, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180756, 2423, 1792, 2853, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180787, 2470, 1791, 2884, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180819, 2456, 1798, 2887, 83, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180862, 2480, 1771, 2832, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180906, 2439, 1773, 2871, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180950, 2410, 1790, 2836, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
180994, 2420, 1838, 2830, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181038, 2427, 1814, 2839, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181082, 2460, 1793, 2834, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181126, 2436, 1814, 2826, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181170, 2427, 1778, 2844, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181214, 2462, 1778, 2847, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181258, 2468, 1757, 2830, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181288, 2462, 1817, 2838, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181318, 2438, 1758, 2841, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181348, 2449, 1797, 2823, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181378, 2423, 1785, 2839, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181408, 2461, 1809, 2828, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181439, 2460, 1792, 2844, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181469, 2443, 1814, 2852, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181499, 2436, 1802, 2813, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181529, 2442, 1793, 2849, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181559, 2432, 1800, 2832, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181590, 2454, 1799, 2836, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181633, 2417, 1781, 2843, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181677, 2430, 1827, 2854, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181720, 2454, 1780, 2827, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181764, 2453, 1816, 2849, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181808, 2453, 1787, 2841, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181851, 2441, 1798, 2826, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181895, 2446, 1823, 2818, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181938, 2446, 1782, 2849, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
181982, 2423, 1815, 2841, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182026, 2454, 1763, 2844, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182062, 2447, 1825, 2834, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
