256712, 2574, 2344, 2238, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256750, 2564, 2320, 2249, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256788, 2525, 2415, 2281, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256826, 2520, 2388, 2221, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256864, 2551, 2332, 2279, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256903, 2611, 2345, 2251, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256942, 2506, 2334, 2258, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
256981, 2536, 2413, 2260, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257020, 2513, 2354, 2227, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257059, 2523, 2435, 2229, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257098, 2524, 2433, 2219, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257137, 2536, 2402, 2240, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257176, 2517, 2411, 2210, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257215, 2565, 2396, 2229, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257251, 2493, 2443, 2222, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257288, 2523, 2409, 2205, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257325, 2523, 2482, 2189, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257361, 2549, 2448, 2186, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257398, 2552, 2438, 2189, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257435, 2530, 2437, 2206, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257472, 2547, 2430, 2192, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257508, 2537, 2482, 2164, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257545, 2496, 2498, 2197, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257582, 2500, 2438, 2180, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257619, 2573, 2459, 2186, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257658, 2545, 2420, 2163, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257697, 2526, 2462, 2184, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257736, 2534, 2417, 2174, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257776, 2554, 2449, 2185, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257815, 2523, 2482, 2154, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257854, 2517, 2430, 2170, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257894, 2566, 2405, 2194, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257933, 2560, 2418, 2177, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
257972, 2551, 2451, 2181, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258012, 2539, 2437, 2172, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258053, 2527, 2432, 2160, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258095, 2528, 2475, 2179, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258136, 2542, 2424, 2139, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258178, 2535, 2432, 2165, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258220, 2564, 2422, 2176, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258261, 2577, 2455, 2180, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258303, 2518, 2415, 2187, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258344, 2537, 2458, 2162, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258386, 2576, 2421, 2162, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258428, 2549, 2464, 2145, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258464, 2515, 2453, 2179, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258500, 2513, 2463, 2158, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258536, 2593, 2447, 2141, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258572, 2547, 2488, 2153, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258608, 2528, 2450, 2160, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258645, 2577, 2459, 2145, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258681, 2560, 2453, 2150, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258717, 2553, 2499, 2134, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258753, 2549, 2478, 2136, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258789, 2496, 2479, 2147, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258826, 2522, 2489, 2118, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258866, 2543, 2480, 2130, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258906, 2565, 2466, 2137, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258946, 2566, 2469, 2124, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
258986, 2567, 2487, 2132, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259027, 2528, 2538, 2104, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259067, 2523, 2512, 2108, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
