370814, 1078, 1941, 3497, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
370851, 1085, 1770, 3600, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
370889, 1077, 1768, 3611, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
370927, 1022, 1873, 3606, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
370963, 1004, 1874, 3548, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
370999, 1033, 1874, 3516, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371035, 1119, 1886, 3507, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371071, 1115, 1928, 3493, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371107, 1088, 1998, 3492, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371143, 1060, 1948, 3478, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371179, 1058, 1921, 3484, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371215, 998, 1946, 3483, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371251, 1029, 1943, 3518, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371287, 1057, 1956, 3514, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371323, 1071, 1985, 3497, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371361, 1062, 1987, 3481, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371400, 1046, 1988, 3492, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371438, 1044, 1997, 3480, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371477, 1040, 2007, 3490, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371515, 1051, 1980, 3502, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371554, 1025, 2022, 3487, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371592, 1033, 2008, 3465, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371631, 1022, 2057, 3489, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371669, 1001, 2038, 3480, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371708, 974, 2006, 3462, 74, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371745, 1009, 2053, 3452, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371782, 986, 2052, 3440, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371820, 969, 2088, 3463, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371857, 983, 2076, 3439, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371895, 997, 2082, 3449, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371932, 1035, 2104, 3441, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
371970, 995, 2075, 3412, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372007, 1007, 2103, 3451, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372045, 983, 2099, 3458, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372082, 967, 2097, 3444, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372120, 1003, 2081, 3432, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372165, 1012, 2113, 3412, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372210, 1003, 2114, 3431, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372255, 976, 2102, 3419, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372300, 1000, 2104, 3432, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372345, 995, 2097, 3428, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372390, 992, 2116, 3414, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372435, 968, 2127, 3417, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372480, 985, 2129, 3418, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372525, 1002, 2138, 3421, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372571, 1002, 2128, 3423, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372604, 969, 2117, 3416, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372638, 953, 2156, 3397, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372671, 958, 2163, 3404, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372705, 977, 2165, 3414, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372739, 940, 2157, 3387, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372772, 951, 2150, 3409, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372806, 961, 2153, 3383, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372839, 963, 2139, 3401, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372873, 958, 2140, 3415, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372907, 990, 2175, 3415, 73, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372944, 967, 2144, 3409, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
