113333, 1939, 1953, 3145, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113373, 2027, 1876, 3133, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113413, 1863, 1906, 3064, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113454, 1820, 2021, 3157, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113493, 1675, 1986, 3115, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113532, 1443, 1923, 3052, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113571, 1072, 2102, 3325, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113610, 895, 2201, 3520, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113649, 899, 2370, 3361, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113688, 959, 2504, 3260, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113727, 1314, 2102, 3125, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113766, 1587, 2184, 3214, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113805, 1559, 1982, 3020, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113845, 1572, 2023, 3121, 99, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113883, 1633, 2319, 3147, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113921, 1616, 2260, 2901, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113960, 1774, 2397, 3175, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
113998, 1927, 2293, 3229, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114037, 1929, 2172, 2984, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114075, 1962, 2077, 2881, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114114, 1857, 1964, 3001, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114152, 1985, 2169, 3250, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114191, 1933, 2036, 3153, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114229, 2098, 1935, 3019, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114268, 2110, 1778, 2988, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114306, 2244, 1927, 3029, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114345, 2186, 1904, 2980, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114384, 2192, 1868, 2973, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114423, 2229, 1982, 2947, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114462, 2262, 1991, 2976, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114501, 2214, 1987, 2934, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114540, 2251, 2036, 2893, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114579, 2205, 1928, 2941, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114618, 2195, 1885, 3000, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114657, 2156, 1915, 2979, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114693, 2174, 1859, 3025, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114730, 2140, 1842, 3033, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114766, 2140, 1873, 3031, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114803, 2206, 1902, 2966, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114840, 2195, 1835, 2994, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114876, 2191, 1823, 2986, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114913, 2166, 1798, 3008, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114950, 2200, 1968, 3006, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
114986, 2197, 1876, 2955, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115023, 2208, 1959, 2963, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115060, 2193, 1927, 2949, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115103, 2261, 1949, 2910, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115147, 2225, 2018, 2851, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115190, 2226, 2074, 2891, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115234, 2218, 2033, 2935, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115278, 2193, 2001, 2909, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115321, 2131, 1961, 2927, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115365, 2173, 2006, 2959, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115408, 2151, 2015, 2962, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115452, 2115, 1998, 2985, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115496, 2041, 1948, 2992, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115531, 2121, 2038, 2961, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115567, 2102, 1958, 2880, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115603, 2045, 2157, 3023, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
115639, 2080, 2103, 2831, 100, c0af11b6-bd5e-4efb-b492-8305ffa53ccf, , duduk, duduk_antara_dua_sujud, , 
