124212, 2475, 2088, 2482, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124255, 2530, 2104, 2537, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124297, 2593, 2099, 2461, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124340, 2556, 2125, 2498, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124383, 2556, 2173, 2429, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124426, 2558, 2163, 2450, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124460, 2537, 2177, 2456, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124495, 2479, 2157, 2439, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124530, 2464, 2166, 2468, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124565, 2570, 2200, 2440, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124600, 2558, 2209, 2441, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124634, 2492, 2227, 2455, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124669, 2532, 2182, 2436, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124704, 2539, 2204, 2387, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124739, 2574, 2108, 2442, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124774, 2647, 2184, 2347, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
